seq,kanji,kyuuji,gakunen
1,亜,亞,7
2,哀,,7
3,挨,,7
4,愛,,4
5,曖,,7
6,悪,惡,3
7,握,,7
8,圧,壓,5
9,扱,,7
10,宛,,7
11,嵐,,7
12,安,,3
13,案,,4
14,暗,,3
15,以,,4
16,衣,,4
17,位,,4
18,囲,圍,5
19,医,醫,3
20,依,,7
21,委,,3
22,威,,7
23,為,爲,7
24,畏,,7
25,胃,,6
26,尉,,7
27,異,,6
28,移,,5
29,萎,,7
30,偉,,7
31,椅,,7
32,彙,,7
33,意,,3
34,違,,7
35,維,,7
36,慰,,7
37,遺,,6
38,緯,,7
39,域,,6
40,育,,3
41,一,,1
42,壱,壹,7
43,逸,逸,7
44,茨,,4
45,芋,,7
46,引,,2
47,印,,4
48,因,,5
49,咽,,7
50,姻,,7
51,員,,3
52,院,,3
53,淫,,7
54,陰,,7
55,飲,飮,3
56,隠,隱,7
57,韻,,7
58,右,,1
59,宇,,6
60,羽,羽,2
61,雨,,1
62,唄,,7
63,鬱,,7
64,畝,,7
65,浦,,7
66,運,,3
67,雲,,2
68,永,,5
69,泳,,3
70,英,,4
71,映,,6
72,栄,榮,4
73,営,營,5
74,詠,,7
75,影,,7
76,鋭,銳,7
77,衛,衞,5
78,易,,5
79,疫,,7
80,益,益,5
81,液,,5
82,駅,驛,3
83,悦,悅,7
84,越,,7
85,謁,謁,7
86,閲,閱,7
87,円,圓,1
88,延,,6
89,沿,,6
90,炎,,7
91,怨,,7
92,宴,,7
93,媛,,4
94,援,,7
95,園,,2
96,煙,,7
97,猿,,7
98,遠,,2
99,鉛,,7
100,塩,鹽,4
101,演,,5
102,縁,緣,7
103,艶,艷,7
104,汚,,7
105,王,,1
106,凹,,7
107,央,,3
108,応,應,5
109,往,,5
110,押,,7
111,旺,,7
112,欧,歐,7
113,殴,毆,7
114,桜,櫻,5
115,翁,,7
116,奥,奧,7
117,横,橫,3
118,岡,,4
119,屋,,3
120,億,,4
121,憶,,7
122,臆,,7
123,虞,,7
124,乙,,7
125,俺,,7
126,卸,,7
127,音,,1
128,恩,,6
129,温,溫,3
130,穏,穩,7
131,下,,1
132,化,,3
133,火,,1
134,加,,4
135,可,,5
136,仮,假,5
137,何,,2
138,花,,1
139,佳,,7
140,価,價,5
141,果,,4
142,河,,5
143,苛,,7
144,科,,2
145,架,,7
146,夏,,2
147,家,,2
148,荷,,3
149,華,,7
150,菓,,7
151,貨,,4
152,渦,,7
153,過,,5
154,嫁,,7
155,暇,,7
156,禍,禍,7
157,靴,,7
158,寡,,7
159,歌,,2
160,箇,,7
161,稼,,7
162,課,,4
163,蚊,,7
164,牙,,7
165,瓦,,7
166,我,,6
167,画,畫,2
168,芽,,4
169,賀,,4
170,雅,,7
171,餓,,7
172,介,,7
173,回,,2
174,灰,,6
175,会,會,2
176,快,,5
177,戒,,7
178,改,,4
179,怪,,7
180,拐,,7
181,悔,悔,7
182,海,海,2
183,界,,3
184,皆,,7
185,械,,4
186,絵,繪,2
187,開,,3
188,階,,3
189,塊,,7
190,楷,,7
191,解,,5
192,潰,,7
193,壊,壞,7
194,懐,懷,7
195,諧,,7
196,貝,,1
197,外,,2
198,劾,,7
199,害,,4
200,崖,,7
201,涯,,7
202,街,,4
203,慨,慨,7
204,蓋,,7
205,該,,7
206,概,槪,7
207,骸,,7
208,垣,,7
209,柿,,7
210,各,,4
211,角,,2
212,拡,擴,6
213,革,,6
214,格,,5
215,核,,7
216,殻,殼,7
217,郭,,7
218,覚,覺,4
219,較,,7
220,隔,,7
221,閣,,6
222,確,,5
223,獲,,7
224,嚇,,7
225,穫,,7
226,学,學,1
227,岳,嶽,7
228,楽,樂,2
229,額,,5
230,顎,,7
231,掛,,7
232,潟,,4
233,括,,7
234,活,,2
235,喝,喝,7
236,渇,渴,7
237,割,,6
238,葛,,7
239,滑,,7
240,褐,褐,7
241,轄,,7
242,且,,7
243,株,,6
244,釜,,7
245,鎌,,7
246,刈,,7
247,干,,6
248,刊,,5
249,甘,,7
250,汗,,7
251,缶,罐,7
252,完,,4
253,肝,,7
254,官,,4
255,冠,,7
256,巻,卷,6
257,看,,6
258,陥,陷,7
259,乾,,7
260,勘,,7
261,患,,7
262,貫,,7
263,寒,,3
264,喚,,7
265,堪,,7
266,換,,7
267,敢,,7
268,棺,,7
269,款,,7
270,間,,2
271,閑,,7
272,勧,勸,7
273,寛,寬,7
274,幹,,5
275,感,,3
276,漢,漢,3
277,慣,,5
278,管,,4
279,関,關,4
280,歓,歡,7
281,監,,7
282,緩,,7
283,憾,,7
284,還,,7
285,館,館,3
286,環,,7
287,簡,,6
288,観,觀,4
289,韓,,7
290,艦,,7
291,鑑,,7
292,丸,,2
293,含,,7
294,岸,,3
295,岩,,2
296,玩,,7
297,眼,,5
298,頑,,7
299,顔,顏,2
300,願,,4
301,企,,7
302,伎,,7
303,危,,6
304,机,,6
305,気,氣,1
306,岐,,4
307,希,,4
308,忌,,7
309,汽,,2
310,奇,,7
311,祈,祈,7
312,季,,4
313,紀,,5
314,軌,,7
315,既,旣,7
316,記,,2
317,起,,3
318,飢,,7
319,鬼,,7
320,帰,歸,2
321,基,,5
322,寄,,5
323,規,,5
324,亀,龜,7
325,喜,,5
326,幾,,7
327,揮,,6
328,期,,3
329,棋,,7
330,貴,,6
331,棄,,7
332,毀,,7
333,旗,,4
334,器,器,4
335,畿,,7
336,輝,,7
337,機,,4
338,騎,,7
339,技,,5
340,宜,,7
341,偽,僞,7
342,欺,,7
343,義,,5
344,疑,,6
345,儀,,7
346,戯,戲,7
347,擬,,7
348,犠,犧,7
349,議,,4
350,菊,,7
351,吉,,7
352,喫,,7
353,詰,,7
354,却,,7
355,客,,3
356,脚,,7
357,逆,,5
358,虐,,7
359,九,,1
360,久,,5
361,及,,7
362,弓,,2
363,丘,,7
364,旧,舊,5
365,休,,1
366,吸,,6
367,朽,,7
368,臼,,7
369,求,,4
370,究,,3
371,泣,,4
372,急,,3
373,級,,3
374,糾,,7
375,宮,,3
376,救,,5
377,球,,3
378,給,,4
379,嗅,,7
380,窮,,7
